iter	Passed	Remaining
0	16	39012
1	32	38636
2	48	37933
3	64	37903
4	79	37660
5	95	37619
6	110	37421
7	127	37628
8	143	37740
9	159	37760
10	176	37883
11	193	37963
12	208	37839
13	224	37883
14	242	38027
15	262	38595
16	280	38844
17	298	39006
18	315	39101
19	334	39344
20	351	39301
21	368	39355
22	386	39502
23	402	39418
24	420	39449
25	438	39543
26	455	39592
27	474	39719
28	491	39742
29	508	39661
30	525	39706
31	542	39702
32	559	39684
33	575	39593
34	592	39567
35	608	39480
36	625	39494
37	642	39464
38	658	39401
39	675	39376
40	691	39297
41	707	39232
42	723	39164
43	744	39412
44	763	39485
45	781	39514
46	798	39521
47	817	39573
48	834	39566
49	851	39526
50	868	39526
51	884	39462
52	902	39475
53	918	39417
54	936	39440
55	951	39371
56	967	39299
57	984	39282
58	1000	39213
59	1016	39164
60	1032	39128
61	1051	39162
62	1067	39137
63	1084	39119
64	1099	39023
65	1115	38973
66	1132	38948
67	1147	38877
68	1163	38843
69	1178	38770
70	1195	38739
71	1212	38723
72	1228	38698
73	1245	38671
74	1262	38651
75	1279	38646
76	1296	38650
77	1313	38640
78	1330	38630
79	1347	38610
80	1362	38538
81	1380	38541
82	1396	38506
83	1412	38470
84	1429	38455
85	1446	38457
86	1461	38389
87	1477	38358
88	1494	38348
89	1511	38333
90	1527	38291
91	1543	38262
92	1561	38276
93	1580	38310
94	1599	38329
95	1616	38329
96	1635	38362
97	1653	38368
98	1671	38387
99	1685	38290
100	1701	38257
101	1718	38235
102	1733	38177
103	1747	38100
104	1762	38048
105	1779	38047
106	1795	38011
107	1810	37957
108	1827	37943
109	1842	37888
110	1857	37830
111	1873	37810
112	1889	37772
113	1905	37747
114	1922	37736
115	1938	37692
116	1953	37653
117	1969	37624
118	1984	37570
119	2000	37535
120	2017	37527
121	2033	37504
122	2050	37498
123	2067	37479
124	2083	37447
125	2098	37410
126	2115	37394
127	2131	37366
128	2147	37333
129	2162	37293
130	2178	37274
131	2194	37246
132	2211	37230
133	2226	37184
134	2241	37147
135	2257	37111
136	2274	37103
137	2290	37077
138	2306	37059
139	2322	37035
140	2340	37030
141	2356	37009
142	2373	36992
143	2388	36956
144	2405	36941
145	2421	36924
146	2437	36894
147	2453	36870
148	2468	36836
149	2484	36798
150	2500	36778
151	2516	36748
152	2531	36711
153	2548	36700
154	2563	36663
155	2581	36664
156	2597	36641
157	2613	36622
158	2629	36591
159	2644	36561
160	2659	36529
161	2676	36508
162	2692	36486
163	2708	36471
164	2725	36461
165	2742	36441
166	2758	36426
167	2775	36409
168	2791	36392
169	2807	36361
170	2824	36352
171	2837	36287
172	2851	36244
173	2866	36211
174	2882	36183
175	2897	36152
176	2913	36133
177	2930	36114
178	2946	36100
179	2961	36067
180	2977	36041
181	2992	36008
182	3007	35977
183	3023	35958
184	3040	35939
185	3057	35932
186	3073	35908
187	3089	35886
188	3106	35876
189	3123	35865
190	3140	35858
191	3156	35836
192	3172	35812
193	3188	35792
194	3203	35761
195	3219	35741
196	3235	35718
197	3251	35701
198	3267	35677
199	3282	35652
200	3297	35615
201	3313	35595
202	3328	35563
203	3344	35540
204	3360	35517
205	3374	35484
206	3391	35468
207	3407	35447
208	3424	35440
209	3441	35430
210	3457	35410
211	3475	35406
212	3491	35386
213	3506	35363
214	3522	35343
215	3539	35324
216	3556	35316
217	3572	35296
218	3587	35273
219	3601	35226
220	3616	35195
221	3631	35172
222	3647	35153
223	3663	35132
224	3678	35102
225	3693	35076
226	3709	35050
227	3724	35020
228	3740	35004
229	3755	34973
230	3771	34956
231	3787	34933
232	3803	34918
233	3819	34896
234	3835	34883
235	3850	34852
236	3867	34842
237	3884	34826
238	3899	34801
239	3912	34753
240	3928	34734
241	3939	34677
242	3956	34662
243	3972	34644
244	3986	34612
245	4003	34600
246	4020	34588
247	4036	34568
248	4047	34509
249	4063	34493
250	4079	34474
251	4096	34460
252	4111	34439
253	4127	34418
254	4144	34405
255	4159	34381
256	4174	34354
257	4187	34310
258	4202	34287
259	4219	34276
260	4235	34253
261	4250	34230
262	4264	34198
263	4278	34160
264	4294	34145
265	4311	34136
266	4328	34125
267	4345	34115
268	4358	34077
269	4374	34059
270	4392	34053
271	4407	34029
272	4424	34014
273	4440	33996
274	4456	33985
275	4474	33983
276	4490	33963
277	4507	33948
278	4524	33944
279	4540	33921
280	4556	33904
281	4569	33864
282	4585	33845
283	4599	33819
284	4615	33798
285	4628	33761
286	4644	33742
287	4661	33733
288	4677	33716
289	4694	33703
290	4710	33686
291	4726	33671
292	4742	33653
293	4759	33638
294	4776	33627
295	4789	33592
296	4805	33572
297	4820	33546
298	4836	33533
299	4852	33513
300	4867	33490
301	4883	33471
302	4899	33458
303	4916	33444
304	4932	33425
305	4949	33415
306	4965	33401
307	4981	33379
308	4997	33363
309	5012	33343
310	5030	33334
311	5046	33323
312	5065	33319
313	5081	33301
314	5098	33293
315	5114	33278
316	5132	33270
317	5150	33270
318	5169	33271
319	5184	33247
320	5201	33231
321	5217	33214
322	5231	33188
323	5248	33177
324	5261	33139
325	5277	33124
326	5294	33107
327	5310	33093
328	5327	33081
329	5343	33063
330	5358	33041
331	5374	33022
332	5392	33018
333	5464	33344
334	5490	33383
335	5598	33926
336	5639	34057
337	5686	34219
338	5758	34534
339	5782	34560
340	5930	35324
341	5987	35539
342	6009	35549
343	6032	35561
344	6053	35567
345	6077	35583
346	6100	35600
347	6123	35616
348	6143	35611
349	6165	35621
350	6187	35628
351	6210	35637
352	6229	35627
353	6249	35624
354	6273	35641
355	6294	35644
356	6313	35635
357	6332	35627
358	6353	35624
359	6373	35619
360	6392	35611
361	6411	35602
362	6433	35607
363	6451	35587
364	6471	35583
365	6490	35574
366	6510	35569
